单选(2分)元素A、B、C、D依次进栈后，栈顶元素是_______。,radio,4,D,C,B,A,D
"单选(2分)经过以下运算后，x的值是_______。InitStack(s);Push(s,a);Push(s,b);Pop(s,x);GetTop(s,x)",radio,4,D,b,1,0,a
"单选(2分)经过以下栈运算后，StackEmpty(s)的值是_______。InitStack(s);Push(s,a);Push(s,b);Pop(s,x);Pop(s,y)",radio,4,D,0,a,b,1
单选(2分)已知一个栈的进栈序列是ABC，出栈序列为CBA，经过栈的操作是_______。,radio,4,D,"push,pop,push,pop,push,pop","push, push,pop, pop,push,pop","push,pop,push, push,pop, pop","push, push, push, pop, pop, pop"
单选(2分)若元素a、b、c、d、e、f依次进栈，允许进栈、退栈的操作交替进行，但不允许连续3次退栈工作，则不可能得到的出栈序列是_______。,radio,4,D,cbdaef, bcaefd,dcebfa,afedcb
单选(2分)设一个栈的输入序列为A、B、C、D，则借助一个栈所得的输出序列不可能是_______。,radio,4,A,DABC,ACDB,DCBA,ABCD
单选(2分)一个栈的进栈序列是abcde，则栈的不可能的输出序列是_______。,radio,4,D,decba,edcba,abcde,dceab
单选(2分)已知一个栈的进栈序列是1，2，3，…n，其输出序列的第一个元素是i（1≤i≤n），则第j（1≤j≤n）个出栈元素是_______。,radio,4,B,n-i,不确定,i,j-i+1
"单选(2分)已知一个栈的进栈序列是1,2,3，…n，其输出序列是p1,p2,…pn，若p1=n,则pi的值是_______。",radio,4,D,i,n-i,不确定,n-i+1
"单选(2分)设n个元素的进栈序列是p1,p2,…pn，其输出序列是1,2,3，…n，若pn=1，则pi（1≤i≤n-1）的值是_______。",radio,4,B,不确定,n-i+1,i,n-i
"单选(2分)设n个元素的进栈序列是1,2,3，…n，其输出序列是p1,p2,…pn，若p1=3，则p2的值是_______。",radio,4,A,不可能是1,以上都不对,一定是1,一定是2
"单选(2分)设n个元素的进栈序列是p1,p2,…pn，其输出序列是1,2,3，…n，若p3=1，则p1的值是_______。",radio,4,A,不可能是2,不可能是3,一定是2,可能是2
"单选(2分)设n个元素的进栈序列是p1,p2,…pn，其输出序列是1,2,3，…n，若p3=3，则p1的值是_______。",radio,4,C,不可能是1,一定是2,可能是2,一定是1
单选(2分)设有5个元素的进栈序列是a，b，c，d，e，其输出序列是c，e，d，b，a，则该栈的容量至少是_______。,radio,4,A,4,3,1,2
单选(2分)在数据处理过程中常需要保存一些中间数据，如果后保存的数据先处理，则使用_______来保存这些数据。,radio,4,A,栈,单链表,线性表,队列
单选(2分)判定一个顺序栈st为（元素个数最多为MaxSize）空的条件为 _______。,radio,4,D,st.top==MaxSize,st.top!=MaxSize, st.top!=-1,st.top==-1
单选(2分)判定一个顺序栈st为（元素个数最多为MaxSize）为栈满的条件为 _______。,radio,4,B,st.top!=MaxSize-1,st.top==MaxSize-1,st.top=-1, st.top！==-1 
单选(2分)表达式a*(b+c)-d的后缀表达式是_______。,radio,4,A,a b c + * d -,a b c * + d - ,- + * a b c d ,a b c d * + -
单选(2分)若一个栈用数组data[1..n]存储，初始栈顶指针top为n+1，则以下元素x进入栈的正确操作是_______。,radio,4,B,data[top]=x;top++;,top--; data[top]=x;,top++; data[top]=x;,data[top]=x;top--;
单选(2分)若一个栈用数组data[1..n]存储，初始栈顶指针top为n，则以下元素x进入栈的正确操作是_______。,radio,4,C,data[top]=x;top++;,top--; data[top]=x;, data[top]=x;top--;,top++; data[top]=x;
单选(2分)若一个栈用数组data[1..n]存储，初始栈顶指针top为0，则以下元素x进入栈的正确操作是_______。,radio,4,C,top--; data[top]=x; , data[top]=x;top++;,top++; data[top]=x; ,data[top]=x;top--;
单选(2分)若一个栈用数组data[1..n]存储，初始栈顶指针top为1，则以下元素x进入栈的正确操作是_______。,radio,4,C,top--; data[top]=x;,data[top]=x;top--;,data[top]=x;top++;,top++; data[top]=x; 
单选(2分)链栈与顺序栈相比有一个明显的优点，即_______。,radio,4,C,插入操作更方便,总是不会出现栈空的情况,通常不会出现栈满的情况,删除操作更加方便
单选(2分)以下各链表均不带有头节点，其中最不合适用作链栈的链表是_______。,radio,4,C,只有表头指针没有表尾指针的循环双链表,只有表尾指针没有表头指针的循环双链表,只有表头指针没有表尾指针的循环单链表,只有表尾指针没有表头指针的循环单链表
单选(2分)如果以链表作为栈的存储结构，则退栈操作时_______。,radio,4,D,必须判断链栈是否为满,判断链栈元素的类型,对链栈不做任何判断,必须判断链栈是否空
单选(2分)向一个不带头节点的栈顶指针为lst的链栈中插入一个s所指向节点时，则执行_______。,radio,4,B,s->next=lst;  lst->next=s;,s->next=lst; lst=s; ,lst->next = s;, s->next=lst->next;  lst->next=s;
单选(2分)从一个不带头节点的栈顶指针为lst的栈链中删除一个节点时，用x保存被删节点的值，则执行_______。,radio,4,C,x=lst->data, x=lst;  lst = lst->next ;,x=lst->data;  lst= lst->next;,lst=lst->next;  x=lst->data;
单选(2分)栈和队列的不同点是_______。,radio,4,D,都是线性表,没有不同点,都不是线性表,栈只能在一端进行插入删除操作，而队列在不同端进行插入删除操作
"单选(2分)经过下列运算后，队头的元素是_______。InitQueue(qu);Enqueue(qu,‘a’);EnQueue(qu,‘b’);EnQueue(qu,‘c’);DeQueue(qu);",radio,4,D,1,0,a,b
单选(2分)若某循环队列有队首指针front和队尾指针rear，在队不满时进队操作仅会改变_______。,radio,4,A, rear,以上都不对,front,front和rear 
单选(2分)循环队列qu的队满条件（front队首指针指向队首元素的前一位置，rear队尾指针指向队尾元素）是_______。,radio,4,A,(qu.rear+1)%maxsize==qu.front,qu.rear==qu.front,(qu.rear+1)%maxsize==qu.front+1,(qu.rear+1)%maxsize==(qu.front+1)%maxsize
单选(2分)设循环队列中数组的下标是0~N-1，其队头、队尾指针分别为f和r（f指向队首元素的前一位置，r指向队尾元素），则元素个数为_______。,radio,4,A,(r-f+N)%N, r-f-1,(r-f)%N+1, r-f
单选(2分)最适合用做链队列的不带表头节点的链表是_______。,radio,4,B,带首节点指针和尾节点指针的循环单链表,只带尾节点指针的循环单链表,只带尾节点指针的非循环单链表,只带首节点指针的非循环单链表
单选(2分)假设用一个不带表头节点的单链表表示队列，在进行删除操作时，_______。,radio,4,D,头、尾指针都要修改 ,仅修改头指针,仅修改尾指针,头、尾指针可能都要修改
单选(2分)假设用一个不带头节点的单链表表示队列，队头和队尾指针分别为front和rear，则判断队空的条件是_______。,radio,4,D, front == rear, front!==NULL, rear!==NULL,front == NULL
单选(2分)最不合适用做链队的不带头节点的链表是_______。,radio,4,D,以上都不合适,只带队首节点指针的循环双链表,只带队尾节点指针的循环双链表,只带队首节点指针的非循环单链表
单选(2分)假设用qu[0..M]实现循环队列，f、r分别为队首元素的前一个位置和队尾位置。若用“(r+1)%(M+1)==f”作为队满的标志，则_______。,radio,4,D,可用“(f+1)%(M+1)==r”作为队空的标志,队列中最多可以有M+1个元素,可用“f > r”作为队空的标志,可用“f==r”作为队空的标志
单选(2分)若用一个大小为6的数组来实现循环队列，且当前rear和front的值分别是0和3，当从队列中删除一个元素，再加入两个元素后，rear和front的值分别是_______。,radio,4,B,4和2,2和4 ,5和1,1和5
判断(2分)栈底元素是不能删除的元素。,tof,2,A,正确,错误
判断(2分)顺序栈中元素值的大小是有序的。,tof,2,B,正确,错误
判断(2分)n个元素依次进栈，它们的出栈顺序和进栈顺序一定正好相反。,tof,2,B,正确,错误
判断(2分)栈顶元素和栈底有可能是同一元素。,tof,2,B,正确,错误
判断(2分)若用s[0..m-1]表示顺序栈的存储空间，则对栈的进栈、出栈操作最多只能进行m次；,tof,2,A,正确,错误
判断(2分)栈是一种对进栈、出栈操作总次数做了限制的线性表。,tof,2,A,正确,错误
判断(2分)栈是一种对进栈、出栈操作的次序做了限制的线性表。,tof,2,A,正确,错误
判断(2分)对顺序栈进行进栈、出栈操作，不涉及元素的前、后移动问题。,tof,2,B,正确,错误
判断(2分)空栈没有栈顶指针。,tof,2,B,正确,错误
判断(2分)栈和队列都是限制存取端的。,tof,2,A,正确,错误
判断(2分)队列是一种对进队、出队操作的次序做了限制的线性表。,tof,2,A,正确,错误
判断(2分)若用“队首指针的值和队尾指针的值相等”作为循环顺序队为空的标识，则在设置一个空队列时，只需给队首指针和队尾指针赋同一个值，在顺序表地址范围内不管什么值都可以。,tof,2,B,正确,错误
